product_id,product_name,product_category,unit_price,current_stock_level
P00001,Decision Lite,Grocery,4008.43,238
P00002,Explain Pro,Grocery,3657.17,310
P00003,Commercial Pro,Sports,2407.23,322
P00004,Final Plus,Books,4012.04,35
P00005,Use Plus,Sports,3252.17,155
P00006,Fact Pro,Books,3276.8,32
P00007,Threat Max,Automotive,264.48,2
P00008,Too Max,Beauty,2216.67,442
P00009,Charge Plus,Grocery,2522.51,39
P00010,His Max,Beauty,4599.91,451
P00011,Treat Edition,Books,3970.74,129
P00012,Read Edition,Electronics,1848.91,193
P00013,Peace Plus,Apparel,2868.61,379
P00014,Strategy Lite,Apparel,3410.86,51
P00015,Ok Plus,Automotive,213.73,419
P00016,Morning Pro,Books,4456.78,432
P00017,Leave Lite,Books,1465.1,287
P00018,Catch Pro,Sports,3324.36,150
P00019,Institution Edition,Grocery,2379.37,34
P00020,One Lite,Apparel,693.68,187
P00021,Fact Edition,Electronics,113.38,271
P00022,Inside Max,Beauty,171.48,470
P00023,Wide Max,Automotive,1159.41,453
P00024,Company Lite,Electronics,1349.94,258
P00025,Once Max,Beauty,1683.03,129
P00026,According Max,Books,125.01,139
P00027,Whole Edition,Beauty,3861.78,241
P00028,Woman Pro,Grocery,228.63,112
P00029,Method Lite,Automotive,1918.72,114
P00030,Low Pro,Apparel,4210.91,380
P00031,Chance Edition,Books,780.57,63
P00032,Few Lite,Sports,3094.33,471
P00033,Only Lite,Home & Kitchen,1650.4,493
P00034,Administration Plus,Sports,2796.16,432
P00035,Term Lite,Grocery,1571.04,233
P00036,Must Edition,Grocery,3746.29,122
P00037,Itself Lite,Beauty,1750.94,408
P00038,Account Plus,Electronics,1238.11,43
P00039,Little Lite,Automotive,2950.45,188
P00040,How Pro,Books,1313.33,322
P00041,Mean Pro,Apparel,4815.07,432
P00042,Heart Pro,Home & Kitchen,4014.94,0
P00043,Practice Edition,Beauty,3022.94,464
P00044,Left Plus,Home & Kitchen,1947.64,248
P00045,Yard Pro,Home & Kitchen,627.52,369
P00046,Whether Edition,Automotive,3387.49,419
P00047,Magazine Plus,Sports,2950.59,399
P00048,Relationship Max,Automotive,4209.52,336
P00049,Heavy Edition,Books,527.47,395
P00050,Glass Plus,Electronics,4907.63,188
P00051,Think Max,Beauty,4141.44,60
P00052,Care Lite,Beauty,3791.98,144
P00053,Specific Lite,Grocery,1520.73,192
P00054,Surface Pro,Home & Kitchen,378.08,456
P00055,Win Plus,Electronics,3790.1,84
P00056,Develop Lite,Automotive,2508.95,83
P00057,Already Max,Electronics,3273.81,186
P00058,Anything Plus,Sports,4501.56,318
P00059,Eight Max,Apparel,4133.02,436
P00060,Face Lite,Electronics,1090.5,13
P00061,Interesting Max,Sports,4078.64,294
P00062,Others Plus,Apparel,824.72,135
P00063,It Lite,Electronics,779.12,311
P00064,Land Edition,Grocery,4470.51,10
P00065,Father Max,Electronics,4493.01,211
P00066,Box Lite,Apparel,2086.82,185
P00067,Responsibility Pro,Home & Kitchen,4820.98,135
P00068,Section Edition,Books,2280.24,346
P00069,Try Pro,Grocery,392.81,343
P00070,Control Edition,Electronics,4311.89,3
P00071,Leg Plus,Home & Kitchen,1287.71,302
P00072,North Edition,Electronics,2212.67,203
P00073,Computer Plus,Grocery,1567.97,100
P00074,Concern Edition,Apparel,1645.94,238
P00075,Consumer Pro,Apparel,239.1,417
P00076,Environment Edition,Home & Kitchen,1424.71,485
P00077,Future Edition,Books,4046.19,283
P00078,Clear Edition,Automotive,2588.87,490
P00079,Yard Max,Electronics,538.22,44
P00080,Election Pro,Grocery,3676.83,145
P00081,Toward Edition,Sports,1481.89,6
P00082,Brother Max,Books,3556.29,20
P00083,Institution Lite,Beauty,931.05,388
P00084,Answer Max,Sports,3995.31,308
P00085,Answer Plus,Sports,3930.91,376
P00086,Strong Lite,Home & Kitchen,3851.15,239
P00087,Task Edition,Automotive,2474.07,14
P00088,State Pro,Books,838.3,467
P00089,Nation Plus,Books,3973.84,220
P00090,Stage Edition,Beauty,3922.71,375
P00091,Great Pro,Apparel,2593.68,458
P00092,Current Pro,Apparel,2434.3,456
P00093,Many Edition,Automotive,1764.8,487
P00094,Admit Plus,Electronics,4008.59,100
P00095,Human Lite,Beauty,1184.76,96
P00096,Always Edition,Electronics,4767.02,446
P00097,Agreement Pro,Apparel,4092.08,44
P00098,Up Max,Home & Kitchen,3514.17,42
P00099,Provide Plus,Electronics,418.42,349
P00100,Since Lite,Automotive,4136.26,0
P00101,Purpose Lite,Grocery,4272.58,90
P00102,Would Edition,Beauty,4339.51,234
P00103,Cultural Max,Sports,776.75,326
P00104,Kid Plus,Home & Kitchen,3146.5,293
P00105,Recognize Edition,Automotive,363.89,316
P00106,Sense Lite,Beauty,4051.32,76
P00107,Figure Plus,Grocery,443.64,400
P00108,Gas Edition,Beauty,4979.53,329
P00109,Cause Plus,Electronics,4429.98,72
P00110,Hotel Edition,Electronics,1899.5,165
P00111,Share Max,Home & Kitchen,843.49,349
P00112,Build Pro,Automotive,1510.12,391
P00113,Deal Lite,Automotive,4848.95,51
P00114,Talk Edition,Sports,590.76,173
P00115,Season Plus,Beauty,2523.7,157
P00116,Make Plus,Beauty,333.88,350
P00117,Around Lite,Automotive,1562.35,406
P00118,Organization Pro,Automotive,4401.38,2
P00119,Glass Edition,Grocery,4823.71,326
P00120,Base Pro,Apparel,4061.05,325
P00121,Rather Lite,Apparel,4939.34,102
P00122,Relationship Edition,Books,3005.45,43
P00123,Computer Plus,Home & Kitchen,4778.44,2
P00124,Kitchen Max,Beauty,1518.33,110
P00125,Weight Edition,Grocery,1740.22,58
P00126,Adult Pro,Apparel,2798.02,433
P00127,Production Plus,Sports,4292.17,27
P00128,Store Lite,Home & Kitchen,4645.86,248
P00129,Continue Edition,Books,3149.23,250
P00130,Peace Plus,Grocery,4688.57,438
P00131,Senior Max,Beauty,1557.06,419
P00132,It Edition,Apparel,3593.74,404
P00133,Claim Max,Sports,1994.67,209
P00134,Left Edition,Apparel,1257.03,437
P00135,Student Pro,Automotive,3727.28,416
