line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
1,T002404,P00534,PR034,3,1193.29
2,T001639,P02463,PR012,8,1101.76
3,T002566,P01225,,8,3035.35
4,T003125,P02581,PR002,10,1509.38
5,T001304,P02551,PR014,9,2401.73
6,T002910,P00256,PR035,10,3795.53
7,T004745,P00207,PR023,6,812.64
8,T004512,P00590,PR020,4,95.02
9,T001810,P01383,PR019,1,42.37
10,T000247,P01688,,3,715.63
11,T000557,P01833,PR035,10,2501.89
12,T002441,P02705,PR040,8,3544.41
13,T002130,P01677,PR033,3,288.64
14,T000094,P01023,PR008,8,3762.19
15,T004045,P00259,PR006,7,375.58
16,T004410,P02085,PR017,1,458.83
17,T001035,P00931,PR029,6,227.66
18,T000226,P02484,,10,4392.92
19,T002129,P00934,PR032,2,47.41
20,T003773,P00396,PR030,1,134.65
21,T003999,P00073,PR002,1,316.16
22,T001180,P00328,PR007,1,348.9
23,T003953,P02871,PR018,10,2475.24
24,T000242,P00386,PR026,8,1555.2
25,T004096,P00782,PR018,1,170.42
26,T000884,P00453,PR046,8,147.03
27,T004324,P01571,PR048,8,3964.76
28,T004304,P00193,PR003,6,1042.94
29,T004869,P01916,PR002,3,953.02
30,T003944,P00200,PR040,2,765.57
31,T000036,P00262,PR049,8,1866.81
32,T001830,P02881,PR033,5,1693.38
33,T000994,P01693,PR023,10,4421.62
34,T003284,P02162,,3,37.48
35,T004479,P01959,,2,696.12
36,T002861,P02900,PR031,8,2097.61
37,T001093,P00566,PR040,2,998.35
38,T003293,P00228,PR041,1,300.99
39,T002994,P01131,PR005,8,2240.45
40,T002919,P00310,PR006,8,3968.82
41,T000862,P01814,,10,1282.32
42,T001036,P00233,PR011,7,1075.91
43,T001724,P00930,PR048,4,1741.4
44,T003382,P00996,PR016,10,2153.02
45,T000221,P01599,PR041,7,2359.65
46,T003725,P00578,PR023,8,2152.5
47,T004124,P02058,PR039,8,1986.42
48,T000545,P02217,PR043,2,241.61
49,T004478,P00072,PR012,6,2422.21
50,T001728,P01174,PR028,3,687.28
51,T004101,P01359,PR005,3,591.12
52,T004422,P00710,PR030,10,914.8
53,T000406,P01951,PR016,10,3558.16
54,T002426,P01736,PR040,9,1689.29
55,T003796,P02782,PR009,1,486.49
56,T000478,P01462,PR004,3,521.63
57,T002635,P02538,,4,1948.95
58,T002449,P01752,PR004,3,1187.36
59,T002882,P02454,PR003,4,1574.32
60,T002519,P02695,PR035,7,1762.79
61,T002334,P01180,PR018,9,3345.31
62,T002131,P01635,PR046,7,1331.75
63,T000306,P01049,PR012,7,714.17
64,T001363,P00519,PR035,8,2178.33
65,T003416,P02963,PR044,10,2123.43
66,T001000,P02151,PR025,3,813.14
67,T003853,P02060,,10,251.29
68,T004817,P01147,PR020,6,2252.79
69,T002903,P00862,PR044,6,2896.88
70,T003600,P01492,,9,3813.98
71,T004584,P00447,PR035,5,530.82
72,T001754,P00042,PR022,2,855.79
73,T004566,P01316,PR006,2,601.34
74,T002045,P02496,PR024,2,688.35
75,T003125,P01589,PR007,8,1490.42
76,T002928,P02873,PR004,6,1173.87
77,T003558,P00412,PR023,4,1649.72
78,T001133,P01516,PR035,6,820.88
79,T001604,P02171,PR011,2,672.42
80,T004577,P01040,,10,2789.72
81,T001506,P01057,PR043,10,2225.31
82,T000422,P02741,PR022,3,501.76
83,T002519,P00240,PR023,6,1298.15
84,T004211,P00615,PR043,2,973.63
85,T003828,P01537,,9,4292.25
86,T001903,P01243,PR041,8,2540.16
87,T002101,P00275,PR036,9,2472.49
88,T001695,P02752,PR049,1,71.36
89,T001983,P01698,PR039,7,1650.72
90,T004061,P00155,PR008,7,1480.88
91,T002300,P02032,PR003,1,439.01
92,T002811,P02041,PR028,2,181.37
93,T003871,P00169,PR012,5,1447.95
94,T003386,P00710,PR030,9,393.61
95,T001124,P00682,PR018,10,3424.95
96,T000418,P02534,PR008,8,951.37
97,T002686,P02461,PR048,1,239.25
98,T004581,P02775,PR011,5,2240.2
99,T001702,P01523,,6,161.87
100,T003467,P00793,PR021,5,1908.87
101,T000793,P02567,PR042,4,1989.79
102,T000778,P00242,PR029,2,711.4
103,T003757,P02852,PR049,7,2534.77
104,T000240,P01328,PR015,10,3111.23
105,T000799,P00913,PR020,2,409.86
106,T000848,P01099,,4,1264.16
107,T003865,P02949,PR013,7,830.56
108,T003299,P02592,,2,669.5
109,T001372,P00716,PR025,1,346.96
110,T002727,P02297,PR039,6,2501.97
111,T003569,P02124,PR042,10,587.41
112,T004364,P01659,PR025,8,3919.59
113,T001570,P02431,PR029,5,961.49
114,T004348,P01287,PR003,9,3207.8
115,T004122,P02385,,9,1570.23
116,T002002,P00370,PR018,2,528.75
117,T003668,P00105,PR038,3,1142.7
118,T002825,P02590,PR050,10,1034.07
119,T003435,P01113,PR015,9,1930.79
120,T001035,P01918,PR014,2,728.14
121,T002435,P01686,PR009,2,578.18
122,T001163,P01097,PR044,8,255.03
123,T004049,P00597,,3,341.67
124,T002927,P02593,PR045,2,762.7
125,T000916,P00320,,10,3857.1
126,T000968,P00602,PR014,4,1926.3
127,T000994,P01542,PR029,10,1653.04
128,T001815,P00967,PR045,3,822.98
129,T001613,P00108,PR009,10,1709.74
130,T004094,P02445,PR046,2,104.14
131,T003948,P00463,PR048,9,1904.11
132,T004790,P00206,PR034,3,1352.8
133,T004155,P00151,PR019,4,1311.65
134,T002703,P01277,PR013,5,1081.61
135,T004359,P01409,PR019,1,61.46
136,T004424,P02641,PR048,3,140.29
137,T004375,P01683,PR050,9,2214.42
138,T003269,P02839,PR043,6,2407.21
139,T002347,P02340,PR006,3,1291.59
140,T002847,P01494,PR010,9,993.53
141,T000310,P02038,PR015,4,989.75
142,T003412,P01769,PR043,9,3640.13
143,T002739,P01766,PR017,3,206.46
144,T002882,P01686,PR011,5,1015.02
145,T003208,P01669,PR012,2,353.56
146,T000917,P00581,PR026,1,194.83
147,T001771,P01730,PR022,6,2392.46
148,T003195,P00123,,2,466.37
149,T001582,P01622,PR027,8,142.11
150,T001259,P02117,PR024,1,81.19
