store_id,store_name,store_city,store_region,opening_date
S00001,Robinson Ltd Store,Jaipur,West,2024-09-15
S00002,Copeland Ltd Store,Pune,West,2021-01-25
S00003,Cooper LLC Store,Bengaluru,West,2022-06-09
S00004,Lindsey-Rodriguez Store,Hyderabad,East,2022-07-04
S00005,Cole-Davis Store,Kolkata,Central,2019-07-05
S00006,Murphy and Sons Store,Ahmedabad,Central,2019-01-18
S00007,Hernandez Ltd Store,Kolkata,South,2019-05-15
S00008,Perez-Jackson Store,Jaipur,South,2019-12-08
S00009,Harris Group Store,Chennai,East,2021-12-30
S00010,"Mitchell, King and King Store",Surat,East,2021-05-16
S00011,"Romero, Sanchez and Salas Store",Pune,Central,2020-01-29
S00012,Sampson-Torres Store,Surat,West,2023-04-05
S00013,Coleman-Williams Store,Ahmedabad,East,2022-08-15
S00014,"Williams, Thompson and Martinez Store",Pune,North,2018-11-25
S00015,"Dean, Jefferson and Martin Store",Ahmedabad,North,2017-04-05
S00016,"Jimenez, Bennett and Riddle Store",Mumbai,West,2023-07-20
S00017,Weaver and Sons Store,Jaipur,East,2018-03-20
S00018,"Stewart, Peterson and Guerrero Store",Mumbai,South,2024-06-27
S00019,"Golden, Tucker and Pham Store",Bengaluru,West,2023-01-12
S00020,Gibbs-Davis Store,Hyderabad,North,2020-09-20
S00021,Contreras-Harrison Store,Ahmedabad,West,2023-12-15
S00022,"Wood, Wheeler and Steele Store",Kolkata,East,2024-08-02
S00023,"Melendez, Edwards and Johnson Store",Mumbai,West,2018-04-05
S00024,Miller Inc Store,Kolkata,West,2022-09-29
S00025,"Allen, Duncan and Thomas Store",Chennai,South,2019-09-18
S00026,"Miller, Wood and Brown Store",Delhi,West,2024-10-29
S00027,"Lewis, Wilson and Potts Store",Ahmedabad,West,2018-06-15
S00028,Rios-Taylor Store,Chennai,Central,2025-08-07
S00029,"Cross, Fowler and Jackson Store",Mumbai,East,2016-10-08
S00030,Edwards and Sons Store,Hyderabad,South,2025-06-15
S00031,Peters Ltd Store,Ahmedabad,West,2015-12-21
S00032,James-Morris Store,Delhi,South,2017-12-05
S00033,"Green, Williams and West Store",Bengaluru,North,2020-02-23
S00034,Garcia Inc Store,Chennai,West,2023-04-02
S00035,Walker Ltd Store,Jaipur,Central,2017-05-10
S00036,"White, Moreno and Rivas Store",Kolkata,North,2018-06-21
S00037,Miller-Dunn Store,Pune,Central,2021-04-29
S00038,"Todd, Holland and Lee Store",Pune,Central,2018-05-18
S00039,Robertson-Tran Store,Mumbai,East,2025-10-25
S00040,Solis-Velazquez Store,Surat,East,2020-02-17
S00041,"Navarro, Velez and Cummings Store",Bengaluru,West,2021-05-06
S00042,Perez-Medina Store,Surat,East,2025-09-07
S00043,Bullock PLC Store,Jaipur,North,2015-12-08
S00044,Garrison and Sons Store,Chennai,East,2016-09-17
S00045,Michael-Banks Store,Pune,North,2015-12-06
S00046,Ferrell-Weber Store,Pune,South,2018-01-30
S00047,Barnes LLC Store,Mumbai,Central,2025-05-04
S00048,"Carpenter, Erickson and Carter Store",Hyderabad,West,2022-01-18
S00049,"Levy, Kelly and Vazquez Store",Pune,Central,2018-12-18
S00050,"Clark, Vargas and Mcintyre Store",Delhi,East,2024-03-08
S00051,"Wells, Sandoval and Jackson Store",Bengaluru,East,2019-09-14
S00052,"Frost, Fry and Vaughan Store",Bengaluru,North,2021-09-17
S00053,Vega and Sons Store,Delhi,North,2022-04-02
S00054,James and Sons Store,Jaipur,Central,2022-09-09
S00055,Patton-Brock Store,Jaipur,South,2022-01-12
S00056,Allen and Sons Store,Chennai,Central,2023-10-23
S00057,Davis and Sons Store,Jaipur,South,2019-08-08
S00058,Patton PLC Store,Delhi,North,2025-06-11
